"","farmer_ID","treat","clusterID","q13","q14","q16","q17","q19","q54a","q58a","q62a","q69"
"115","F_1182","T1",17,"Female",48,"Male","68",5,"1","0.3","0.5",4
"116","F_1184","T1",17,"Female",54,"Male","60",5,"3","4","1",2
"117","F_1185","T1",17,"Female",70,"n/a","n/a",5,"0.5","0.25","n/a",3
"118","F_1186","T1",17,"Male",40,"n/a","n/a",6,"1","n/a","1.5",3
"119","F_1187","T1",17,"Female",27,"Male","28",3,"1","0.5","1",1
"120","F_1188","T1",17,"Male",22,"n/a","n/a",3,"1","1","n/a",3
"121","F_1189","T1",17,"Male",39,"n/a","n/a",3,"0.5","n/a","0.25",4
"122","F_1193","T1",17,"Female",36,"Male","37",8,"1","0.5","0.2",5
"123","F_1195","T1",17,"Male",68,"n/a","n/a",11,"2","n/a","2.5",3
"124","F_1197","T1",17,"Female",35,"Male","36",5,"1.25","0.5","0.5",3
"125","F_120","C",65,"Male",66,"n/a","n/a",8,"0.5","n/a","0.5",4
"126","F_1201","T1",17,"Male",43,"n/a","n/a",7,"0.5","0.5","0.75",1
"127","F_1202","T1",17,"Female",63,"n/a","n/a",4,"0.5","n/a","0.25",3
"128","F_1203","T1",17,"Female",34,"n/a","n/a",4,"1","1","0.5",3
"129","F_1205","T1",17,"Male",27,"n/a","n/a",3,"0.5","3.25","0.5",1
"130","F_1206","T1",17,"Female",48,"n/a","n/a",5,"0.5","0.5","0.4",4
"131","F_1208","T1",17,"Male",59,"n/a","n/a",8,"1","1","0.5",2
"132","F_1209","T1",17,"Female",42,"Female","43",6,"1","0.5","2.5",3
"133","F_1211","C",41,"Male",50,"n/a","n/a",6,"5","2","5",1
"134","F_1213","C",41,"Male",45,"n/a","n/a",5,"1","0.5","0.5",5
"135","F_1214","C",41,"Male",30,"n/a","n/a",4,"2","1","2",2
"136","F_1216","C",41,"Female",999,"Male","999",6,"4","2.5","2",2
"137","F_1219","C",41,"Male",43,"n/a","n/a",7,"1.5","0.5","1",2
"138","F_122","C",65,"Female",46,"Female","46",8,"1.5","n/a","n/a",4
"139","F_1220","C",41,"Female",26,"Male","33",3,"0.75","n/a","0.5",1
"140","F_1222","C",41,"Female",60,"n/a","n/a",2,"0.5","n/a","0.5",4
"141","F_1224","C",41,"Female",31,"Male","34",6,"0.5","n/a","0.5",3
"142","F_1226","C",41,"Male",63,"n/a","n/a",4,"2","3","4",1
"143","F_1227","C",41,"Female",29,"Female","38",5,"0.5","n/a","1",3
"144","F_1229","C",41,"Male",35,"n/a","n/a",5,"1","n/a","1",3
"145","F_123","C",65,"Female",64,"n/a","n/a",2,"1","n/a","1",3
"146","F_1233","C",41,"Male",23,"n/a","n/a",3,"1","n/a","1",2
"147","F_1234","C",41,"Female",29,"Male","30",5,"0.5","0.5","1",4
"148","F_1235","C",41,"Female",58,"Female","999",7,"2","0.25","2",1
"149","F_1236","C",41,"Male",28,"Female","70",6,"0.5","n/a","2.5",2
"150","F_1237","C",41,"Male",60,"n/a","n/a",4,"2.5","0.5","1",2
"151","F_1238","C",41,"Female",21,"Male","24",3,"0.5","n/a","2",2
"152","F_1239","C",41,"Female",48,"Male","58",3,"1","1","0.5",4
"153","F_124","C",65,"Male",36,"n/a","n/a",6,"2","n/a","1",4
"154","F_1241","C",59,"Male",38,"n/a","n/a",3,"2","n/a","1",4
"155","F_1244","C",59,"Male",49,"n/a","n/a",3,"2","1","1",2
"156","F_1245","C",59,"Male",28,"n/a","n/a",4,"n/a","n/a","0.5",4
"157","F_1246","C",59,"Female",49,"Male","52",9,"1","n/a","0.5",4
"158","F_1247","C",59,"Female",41,"n/a","n/a",6,"1","0.5","0.5",4
"159","F_1248","C",59,"Female",25,"n/a","n/a",6,"1","1","0.5",4
"160","F_1249","C",59,"Female",46,"n/a","n/a",4,"0.5","0.5","0.5",2
"161","F_1251","C",59,"Female",38,"Male","41",7,"1","n/a","1",5
"162","F_1254","C",59,"Male",35,"n/a","n/a",4,"1","n/a","0.25",3
"163","F_1255","C",59,"Male",43,"n/a","n/a",8,"2","0.5","1",3
"164","F_1256","C",59,"Male",24,"n/a","n/a",3,"0.75","n/a","n/a",5
"165","F_1257","C",59,"Female",28,"n/a","n/a",3,"0.5","n/a","0.5",5
"166","F_1259","C",59,"Female",20,"Male","999",5,"0.5","n/a","1",3
"167","F_1262","C",59,"Male",19,"n/a","n/a",4,"0.5","n/a","1",2
"168","F_1263","C",59,"Female",33,"Male","37",7,"2","1","0.25",3
"169","F_1266","C",59,"Male",37,"n/a","n/a",3,"2","0.5","2",2
"170","F_1267","C",59,"Male",31,"n/a","n/a",3,"2","n/a","3",1
"171","F_127","T2",72,"Male",64,"n/a","n/a",9,"1.5","n/a","n/a",1
"172","F_1271","C",59,"Male",60,"n/a","n/a",4,"3","n/a","1.5",2
"173","F_1272","C",111,"Male",25,"n/a","n/a",5,"1","n/a","1",3
"174","F_1276","C",111,"Male",57,"n/a","n/a",6,"1","0.5","1",4
"175","F_1277","C",111,"Male",32,"n/a","n/a",6,"1","1","1",4
"176","F_1278","C",111,"Female",55,"n/a","n/a",3,"2","0.5","1",2
"177","F_1279","C",111,"Male",47,"n/a","n/a",5,"2","n/a","2",2
"178","F_128","T2",72,"Male",72,"n/a","n/a",7,"2.5","1.5","2",3
"179","F_1282","C",111,"Male",40,"n/a","n/a",8,"1","n/a","1",4
"180","F_1284","C",111,"Female",57,"Male","61",3,"2","n/a","1",5
"181","F_1285","C",111,"Male",67,"n/a","n/a",8,"2","1.5","1.5",2
"182","F_1286","C",111,"Male",75,"n/a","n/a",12,"2","0.5","2",2
"183","F_1287","C",111,"Male",45,"n/a","n/a",5,"2","1","1",4
"184","F_1288","C",111,"Female",46,"n/a","n/a",6,"2","1","2",3
"185","F_129","T2",72,"Male",45,"n/a","n/a",8,"3","n/a","2",5
"186","F_1291","C",111,"Male",49,"n/a","n/a",9,"2.5","n/a","0.5",1
"187","F_1293","C",111,"Male",32,"n/a","n/a",6,"2.5","0.3","0.5",3
"188","F_1295","C",111,"Male",34,"n/a","n/a",7,"1","0.2","0.5",3
"189","F_1297","C",111,"Male",49,"n/a","n/a",4,"5","n/a","1.5",1
"190","F_1298","C",111,"Female",56,"n/a","n/a",10,"1","1","1",5
"191","F_1300","C",111,"Male",65,"n/a","n/a",7,"2","0.25","1",2
"192","F_1301","C",111,"Male",24,"n/a","n/a",3,"1","n/a","1",4
"193","F_1304","C",32,"Female",54,"Male","65",7,"1.25","n/a","n/a",4
"194","F_1305","C",32,"Male",30,"n/a","n/a",5,"1","0.5","0.5",4
"195","F_1306","C",32,"Female",52,"n/a","n/a",3,"0.5","n/a","n/a",4
"196","F_1307","C",32,"Male",25,"n/a","n/a",3,"0.5","n/a","0.4",4
"197","F_1308","C",32,"Male",58,"n/a","n/a",8,"1","n/a","n/a",5
"198","F_1311","C",32,"Male",32,"n/a","n/a",6,"1","n/a","n/a",3
"199","F_1313","C",32,"Female",29,"Male","999",7,"1.5","n/a","0.5",4
"200","F_1314","C",32,"Male",29,"n/a","n/a",4,"1.5","n/a","n/a",4
"201","F_1315","C",32,"Female",70,"n/a","n/a",2,"1.5","0.25","n/a",1
"202","F_1317","C",32,"Male",37,"n/a","n/a",10,"1.5","0.25","1.5",2
"203","F_132","T2",72,"Female",999,"n/a","n/a",4,"1","1","1.2",5
"204","F_1323","C",32,"Male",35,"n/a","n/a",5,"1.5","1","1",4
"205","F_1325","C",32,"Female",40,"Male","40",6,"3.5","1","1.5",1
"206","F_1326","C",32,"Female",46,"Male","48",5,"1","n/a","0.25",5
"207","F_1327","C",32,"Male",27,"n/a","n/a",4,"0.5","n/a","n/a",3
"208","F_133","T2",72,"Male",37,"n/a","n/a",9,"2","n/a","2",1
"209","F_1330","C",32,"Female",58,"n/a","n/a",1,"1","n/a","n/a",5
"210","F_1331","C",32,"Male",53,"n/a","n/a",7,"1.5","1","0.5",3
"211","F_1332","C",32,"Male",40,"n/a","n/a",6,"3","n/a","1",1
"212","F_1333","C",32,"Male",40,"n/a","n/a",5,"1.5","0.5","0.25",1
"213","F_1336","T2",64,"Female",27,"Male","32",4,"1","0.5","1",2
"214","F_1337","T2",64,"Male",21,"n/a","n/a",4,"1","n/a","0.5",1
"215","F_1338","T2",64,"Female",27,"Male","63",13,"n/a","1","0.5",1
"216","F_1339","T2",64,"Male",35,"n/a","n/a",4,"0.5","0.75","1",3
"217","F_1342","T2",64,"Female",78,"Male","90",6,"1","0.25","0.15",3
"218","F_1343","T2",64,"Female",45,"n/a","n/a",3,"0.75","n/a","0.5",4
"219","F_1344","T2",64,"Female",44,"Male","47",8,"0.5","0.5","n/a",3
"220","F_1349","T2",64,"Male",26,"n/a","n/a",3,"1","1","1",3
"221","F_1350","T2",64,"Male",49,"n/a","n/a",5,"0.5","0.5","n/a",5
"222","F_1351","T2",64,"Female",30,"Female","56",8,"1","n/a","0.5",3
"223","F_1352","T2",64,"Female",23,"Male","30",4,"n/a","0.3","0.5",3
"224","F_1354","T2",64,"Female",31,"Male","33",5,"1","1","0.25",1
"225","F_1357","T2",64,"Female",35,"Female","69",4,"0.5","1","0.5",3
"226","F_1358","T2",64,"Male",50,"n/a","n/a",9,"1.5","1","1",1
"227","F_136","T2",72,"Male",54,"n/a","n/a",6,"5","2","50",1
"228","F_1360","T2",64,"Female",70,"n/a","n/a",4,"1","1","n/a",1
"229","F_1361","T2",64,"Female",45,"n/a","n/a",2,"2","2","2",1
"230","F_1363","T2",64,"Male",40,"n/a","n/a",7,"2.5","1","1",1
"231","F_1364","T2",64,"Male",59,"n/a","n/a",5,"1.5","1","n/a",2
"232","F_1366","T1",81,"Female",48,"Male","54",8,"2","1","n/a",4
"233","F_1368","T1",81,"Male",63,"n/a","n/a",6,"1","0.5","2",3
"234","F_137","T2",72,"Male",57,"n/a","n/a",7,"2","0.5","1",3
"235","F_1370","T1",81,"Female",20,"Male","26",2,"2","0.5","0.5",1
"236","F_1371","T1",81,"Female",54,"Male","64",3,"2","1","1",3
"237","F_1372","T1",81,"Male",25,"n/a","n/a",3,"n/a","1","2.5",5
"238","F_1373","T1",81,"Male",56,"n/a","n/a",5,"3","1.4","1",1
"239","F_1375","T1",81,"Female",44,"Male","47",5,"1","n/a","n/a",1
"240","F_1376","T1",81,"Male",42,"n/a","n/a",6,"1","0.5","0.5",1
"241","F_1378","T1",81,"Male",33,"n/a","n/a",4,"1.5","n/a","0.5",3
"242","F_1379","T1",81,"Male",37,"n/a","n/a",5,"1","1","1",1
"243","F_138","T2",72,"Male",30,"n/a","n/a",4,"1","0.5","1",2
"244","F_1381","T1",81,"Female",74,"n/a","n/a",2,"1","0.25","0.25",3
"245","F_1383","T1",81,"Male",47,"n/a","n/a",7,"1","0.5","1",1
"246","F_1385","T1",81,"Male",64,"n/a","n/a",5,"1.5","0.75","1.75",1
"247","F_1386","T1",81,"Female",40,"n/a","n/a",6,"1","0.5","0.3",4
"248","F_1387","T1",81,"Male",27,"n/a","n/a",3,"1","1","1.5",1
"249","F_1390","T1",81,"Male",22,"n/a","n/a",2,"1","n/a","1",2
"250","F_1391","T1",81,"Male",27,"n/a","n/a",3,"1","n/a","1",1
"251","F_1394","T1",81,"Female",24,"Male","34",6,"0.5","0.5","0.5",3
"252","F_1399","T2",55,"Male",54,"n/a","n/a",5,"1","n/a","0.5",4
"253","F_140","T2",72,"Female",46,"n/a","n/a",6,"1","n/a","n/a",3
"254","F_1400","T2",55,"Female",23,"Male","34",3,"0.5","n/a","n/a",5
"255","F_1401","T2",55,"Male",24,"n/a","n/a",2,"1","n/a","1",1
"256","F_1403","T2",55,"Male",27,"n/a","n/a",3,"1","n/a","2",1
"257","F_1406","T2",55,"Female",49,"n/a","n/a",3,"1","n/a","0.5",1
"258","F_1407","T2",55,"Male",46,"n/a","n/a",12,"3","n/a","2",4
"259","F_1410","T2",55,"Male",30,"n/a","n/a",8,"1","n/a","n/a",4
"260","F_1411","T2",55,"Male",63,"n/a","n/a",7,"1","n/a","0.5",1
"261","F_1412","T2",55,"Female",32,"n/a","n/a",5,"1","n/a","1",3
"262","F_1414","T2",55,"Male",66,"n/a","n/a",6,"2","0.4","1.25",4
"263","F_1416","T2",55,"Male",35,"n/a","n/a",5,"1.5","0.5","n/a",3
"264","F_1417","T2",55,"Male",54,"n/a","n/a",7,"1","n/a","n/a",2
"265","F_1418","T2",55,"Male",49,"n/a","n/a",9,"3","1","5",1
"266","F_1419","T2",55,"Female",57,"Male","65",7,"1","n/a","0.5",1
"267","F_142","T2",72,"Male",34,"n/a","n/a",7,"1.5","n/a","6",1
"268","F_1420","T2",55,"Female",58,"n/a","n/a",6,"1","0.5","2",4
"269","F_1422","T2",55,"Male",63,"n/a","n/a",8,"1.5","n/a","1",1
"270","F_1423","T2",55,"Male",27,"n/a","n/a",3,"3","n/a","1",1
"271","F_1425","T2",55,"Male",58,"n/a","n/a",4,"1","n/a","0.25",5
"272","F_1428","T2",15,"Female",65,"n/a","n/a",2,"1","n/a","0.25",4
"273","F_1430","T2",15,"Male",47,"n/a","n/a",5,"n/a","1","n/a",1
"274","F_1431","T2",15,"Female",37,"n/a","n/a",7,"0.5","n/a","0.5",5
"275","F_1434","T2",15,"Female",39,"Male","43",6,"0.25","0.25","n/a",4
"276","F_1435","T2",15,"Male",33,"n/a","n/a",6,"0.5","n/a","0.25",3
"277","F_1436","T2",15,"Male",38,"n/a","n/a",6,"1","0.5","0.5",1
"278","F_1439","T2",15,"Female",42,"Male","52",6,"1","0.75","n/a",2
"279","F_144","T2",72,"Female",41,"Male","45",9,"2","1","2",2
"280","F_1440","T2",15,"Female",22,"Male","999",5,"2","n/a","0.25",3
"281","F_1442","T2",15,"Male",39,"n/a","n/a",6,"1.5","1","1",1
"282","F_1443","T2",15,"Male",47,"n/a","n/a",9,"2","1","1",5
"283","F_1444","T2",15,"Female",39,"Male","45",10,"1.5","0.5","0.5",1
"284","F_1447","T2",15,"Male",49,"n/a","n/a",10,"1.5","1","0.5",1
"285","F_1450","T2",15,"Female",41,"Male","54",7,"1","0.25","0.25",4
"286","F_1451","T2",15,"Male",45,"n/a","n/a",7,"1","0.5","1",4
"287","F_1454","T2",15,"Female",24,"Male","999",6,"1","0.25","n/a",1
"288","F_1455","T2",15,"Male",76,"n/a","n/a",13,"1.5","n/a","n/a",3
"289","F_1456","T2",15,"Male",36,"n/a","n/a",3,"1","n/a","n/a",3
"290","F_1457","T2",15,"Female",48,"n/a","n/a",5,"1.5","2","1.5",1
"291","F_1458","T1",88,"Female",28,"Male","32",6,"0.5","n/a","0.5",2
"292","F_146","T2",72,"Female",21,"Male","24",3,"0.5","0.3","1",3
"293","F_1460","T1",88,"Male",48,"n/a","n/a",4,"5","1","1",1
"294","F_1462","T1",88,"Male",52,"n/a","n/a",8,"2","n/a","1",2
"295","F_1464","T1",88,"Male",49,"n/a","n/a",9,"1.5","1","1.5",3
"296","F_1466","T1",88,"Male",36,"n/a","n/a",7,"1","1","1.5",1
"297","F_1468","T1",88,"Female",35,"Male","57",7,"3","n/a","n/a",4
"298","F_147","T2",72,"Male",35,"n/a","n/a",5,"0.7","n/a","1",3
"299","F_1470","T1",88,"Male",50,"n/a","n/a",6,"2","0.25","0.25",4
"300","F_1472","T1",88,"Female",31,"Male","38",4,"1","n/a","0.5",4
"301","F_1473","T1",88,"Male",35,"n/a","n/a",5,"1.5","n/a","0.3",2
"302","F_1475","T1",88,"Female",35,"Male","40",6,"0.5","0.5","n/a",2
"303","F_1477","T1",88,"Female",50,"Male","60",8,"2.25","0.75","0.75",1
"304","F_1478","T1",88,"Male",34,"n/a","n/a",4,"2","6","3",1
"305","F_1479","T1",88,"Female",70,"n/a","n/a",4,"0.5","0.25","n/a",4
"306","F_148","T2",72,"Male",25,"n/a","n/a",6,"1","n/a","n/a",5
"307","F_1480","T1",88,"Male",23,"n/a","n/a",3,"n/a","0.25","1",1
"308","F_1481","T1",88,"Female",19,"Male","21",3,"0.5","n/a","0.25",4
"309","F_1483","T1",88,"Male",21,"n/a","n/a",3,"0.5","n/a","n/a",3
"310","F_1486","T1",88,"Male",45,"n/a","n/a",9,"1.5","n/a","1.5",2
"311","F_1487","T1",88,"Male",44,"n/a","n/a",7,"1","1.25","2",5
"312","F_149","T2",72,"Female",32,"Female","34",4,"2","n/a","0.5",1
"313","F_1491","C",105,"Female",22,"Male","23",3,"1","n/a","1",5
"314","F_1493","C",105,"Male",28,"n/a","n/a",4,"n/a","1","1.5",4
"315","F_1494","C",105,"Male",66,"n/a","n/a",11,"1.25","0.5","n/a",4
"316","F_1497","C",105,"Male",26,"n/a","n/a",3,"1","1","n/a",1
"317","F_1499","C",105,"Male",62,"n/a","n/a",9,"2","1.5","n/a",4
"318","F_150","T2",72,"Male",28,"n/a","n/a",3,"0.5","n/a","n/a",3
"319","F_1501","C",105,"Female",56,"Male","69",2,"0.5","1","n/a",3
"320","F_1502","C",105,"Female",56,"n/a","n/a",5,"2","0.5","0.5",3
"321","F_1503","C",105,"Female",59,"n/a","n/a",1,"1","0.5","n/a",1
"322","F_1504","C",105,"Female",45,"Male","47",6,"1","1","1",1
"323","F_1505","C",105,"Male",29,"n/a","n/a",3,"0.5","0.5","n/a",3
"324","F_1508","C",105,"Female",54,"n/a","n/a",5,"1","1","n/a",4
"325","F_1509","C",105,"Female",28,"Male","35",4,"0.5","1","1",1
"326","F_1510","C",105,"Male",48,"n/a","n/a",5,"2","3","2",1
"327","F_1513","C",105,"Female",34,"Male","39",5,"1","1","0.5",1
"328","F_1516","C",105,"Male",23,"n/a","n/a",3,"1.5","n/a","n/a",3
"329","F_1517","C",105,"Female",27,"Male","30",4,"1","n/a","n/a",1
"330","F_1519","C",105,"Male",28,"n/a","n/a",3,"1","n/a","1",4
"331","F_152","T2",72,"Female",999,"n/a","n/a",3,"0.2","n/a","n/a",5
"332","F_1520","T2",24,"Male",999,"n/a","n/a",9,"2.5","2.5","n/a",1
"333","F_1521","T2",24,"Female",54,"n/a","n/a",4,"1","2.5","1",1
"334","F_1523","T2",24,"Male",67,"n/a","n/a",5,"3","2","1",1
"335","F_1525","T2",24,"Male",69,"n/a","n/a",4,"3","2.5","1.5",1
"336","F_1527","T2",24,"Male",52,"n/a","n/a",4,"1","2","1.5",2
"337","F_1528","T2",24,"Male",65,"n/a","n/a",4,"2.5","1","2.5",2
